,0,1
303,see,524
304,haven't,75
305,almost,158
306,three,211
307,letting,19
308,probably,196
309,won't,146
310,quite,141
311,while,363
312,6,96
313,was,2932
314,elected,79
315,director,73
316,asu,2
317,college,95
318,republicans,256
319,given,225
320,responsibilities,11
321,lot,184
322,time,848
323,checking,15
324,account,46
325,gotten,47
326,little,328
327,low,64
328,putting,51
329,more,1551
330,hours,126
331,work,334
332,course,213
333,classes,8
334,attend,12
335,result,77
336,free,284
337,lately,21
338,i've,278
339,going,507
340,days,213
341,without,231
342,e-mail,29
343,less,157
344,having,185
345,get,767
346,site,212
347,until,175
348,end,220
349,semester,3
350,1:36,1
351,friday,116
352,04,27
353,blogs,122
354,under,283
355,attack,154
356,from,2283
357,mccain-feingold,6
358,busy,40
359,last,485
360,missed,41
361,legislation,54
362,now,939
363,coming,122
364,down,370
365,link,173
366,candidates,127
367,website,107
368,bradley,7
369,smith,61
370,says,308
371,freewheeling,1
372,political,632
373,blogging,113
374,online,147
375,punditry,2
376,are,2834
377,over,740
378,months,127
379,he,2581
380,warns,5
381,bloggers,114
382,news,650
383,organizations,85
384,could,552
385,risk,66
386,wrath,6
387,federal,186
388,government,401
389,improperly,4
390,campaign's,27
391,web,93
392,forwarding,1
393,candidate's,12
394,press,218
395,release,88
396,mailing,6
397,depending,16
398,details,37
399,punished,17
400,fines,5
401,he's,389
402,six,53
403,commissioners,4
404,election,669
405,beginning,57
406,perilous,2
407,process,97
408,extending,5
409,controversial,25
410,2002,154
411,campaign,614
412,finance,41
413,law,195
414,internet,93
415,captain's,27
416,quarters,34
417,captain,18
418,ed,47
419,written,81
420,letter,61
421,wants,184
422,copy,42
423,send,52
424,your,698
425,senators,31
426,no,1241
427,matter,165
428,left,332
429,or,1845
430,right,706
431,protect,81
432,our,931
433,speech,235
434,2:43,1
435,swifty,2
436,calls,75
437,kerry,916
438,jerome,8
439,corsi,8
440,sift,2
441,boat,33
442,veterans,48
443,book,204
444,atomic,7
445,iran,113
446,planning,22
447,sending,34
448,senator,274
449,john,623
450,personalized,2
451,note,118
452,his,2408
453,own,404
454,latest,77
455,nemesis,1
456,co-author,1
457,unfit,7
458,command,25
459,planned,21
460,opponent,21
461,former,193
462,presidential,263
463,massachusetts,27
464,senatorial,8
465,seat,43
466,said,915
467,pair,13
468,pre-publication,1
469,finished,21
470,copies,9
471,upcoming,14
472,sale,25
473,ebay,12
474,instructions,7
475,buyer,8
476,keep,225
477,other,699
478,bears,16
479,hand-written,1
480,message,116
481,title,68
482,page,126
483,looking,114
484,forward,66
485,first,519
486,mass,55
487,signed,34
488,r,22
489,3/3/05,1
490,2:18,2
491,vigil,3
492,lebanese,14
493,freedom,182
494,night,170
495,executive,65
496,board,71
497,outside,82
498,memorial,28
499,union,75
500,fyi,4
501,club,63
502,finishing,4
503,business,152
504,candle,3
505,50,66
506,feet,24
507,sitting,26
508,50-60,2
509,lebanese/lebanese-americans,1
510,who,1831
511,calling,88
512,lebanon's,1
513,syria,22
514,eight,42
515,us,715
516,went,141
517,long,262
518,after,674
519,got,288
520,there,1051
521,them,890
522,asked,146
523,why,545
524,answered,22
525,believe,312
526,want,445
527,weren't,29
528,sure,189
529,ok,35
530,being,495
531,didn't,335
532,disrespectful,2
533,soon,94
534,found,230
535,than,888
536,happy,61
537,handed,15
538,candles,1
539,signs,44
540,some,1006
541,english,54
542,arabic,8
543,chanted,4
544,luckily,1
545,members,126
546,palestinian,44
547,translate,5
548,man,370
549,20's,1
550,president,885
551,took,126
552,pictures,75
553,will,1755
554,post,397
555,crowd,67
556,things,247
557,like,990
558,god,210
559,bless,13
560,bush,941
561,kids,73
562,10,145
563,children,204
564,singing,25
565,star,76
566,spangled,3
567,banner,15
568,carrying,26
569,flags,7
570,along,100
571,flag,41
572,lebanon,41
573,wish,74
574,student,41
575,met,41
576,earlier,78
577,day,486
578,came,166
579,club's,1
580,information,175
581,table,36
582,arguing,18
583,kinds,15
584,argument,67
585,iraq,437
586,point,259
587,brought,74
588,fact,330
589,shift,15
590,towards,34
591,happening,35
592,middle,115
593,east,91
594,countries,93
595,saudi,29
596,arabia,21
597,egypt,10
598,proceeded,3
599,claim,60
600,war,603
601,absolutely,58
602,nothing,264
603,do,1117
604,liberals,123
605,saying,195
606,scroll,15
607,takes,91
608,bottom,33
609,later,126
610,hear,93
611,chant,3
612,then,508
613,ask,119
614,credit,95
615,main,69
616,cause,91
617,current,113
618,push,41
619,deny,26
620,obvious,78
621,honestly,22
622,sit,32
623,tell,184
624,movement,58
625,elections,154
626,though,303
627,small,121
628,announcing,7
629,run,201
630,against,549
631,mubarak,3
632,happened,101
633,5,111
634,iraqi,81
635,coincidence,13
636,sent,75
637,rest,126
638,arab/islamic,1
639,world,530
640,heard,100
641,their,1585
642,here,694
643,update,229
644,non-negotiable,4
645,deadline,6
646,pulling,11
647,pull,47
648,troops,135
649,agents,23
650,may,678
651,pave,6
652,way,503
653,parliamentary,3
654,mind,142
655,mean,140
656,particularly,45
657,secret,38
658,service,153
659,intelligence,75
660,services,66
661,told,188
662,editorial,62
663,interview,73
664,fair,81
665,syrian,5
666,continued,36
667,1:18,1
668,01,26
669,spread,46
670,recent,171
671,protests,18
672,syrian-controlled,1
673,subsequent,10
674,resignation,8
675,seen,142
676,around,213
677,caused,48
678,week,212
679,analysts,11
680,era,22
681,popular,58
682,demand,52
683,pushes,1
684,momentum,9
685,people's,26
686,longer,77
687,disregarded,1
688,television,86
689,stations,28
690,broadcast,35
691,beirut's,1
692,live,145
693,into,631
694,homes,32
695,coffee,23
696,shops,5
697,clubs,2
698,across,89
699,dramatic,8
700,images,26
701,youths,3
702,wearing,19
703,red-and-white,1
704,scarves,1
705,waving,8
706,red,71
707,white,168
708,green,52
709,roses,1
710,monday,96
711,ordered,19
712,block,18
713,coverage,84
714,lasting,9
715,hardly,21
716,break,68
717,culminated,1
718,syrian-backed,1
719,government's,13
720,inevitably,4
721,raised,57
722,question,266
723,spectators,2
724,happen,90
725,yemen,3
726,ahmed,4
727,murtada,1
728,unemployed,9
729,yemeni,1
730,san'a,1
731,tanks,9
732,prevail,7
733,anas,1
734,khashoggi,1
735,46-year-old,1
736,management,17
737,consultant,8
738,jiddah,1
739,followed,33
740,monday's,6
741,events,67
742,wanted,91
743,how,897
744,reacts,2
745,disappointed,19
746,al-assad,1
747,pulled,29
748,i'll,123
749,when,1098
750,it's,1134
751,starting,32
752,look,280
753,syrians,1
754,option,24
755,democracies,10
756,already,229
757,forming,9
758,i.e,14
759,lead,134
760,reform,72
761,inside,52
762,four,127
763,pressure,41
764,3:43,2
765,intolerant,6
766,tolerance,19
767,howard,31
768,dean,29
769,kerry-esque,1
770,ability,60
771,contradict,5
772,himself,140
773,sentences,11
774,moderate,44
775,can't,269
776,stand,112
777,these,680
778,conservatives,191
779,because,719
780,they're,134
781,virtue,6
782,adding,18
783,right-wingers,4
784,throw,38
785,away,194
786,tolerant,8
787,concluding,5
788,backyard,2
789,litany,7
790,democratic,261
791,added,60
792,struggle,19
793,evil,116
794,we're,183
795,supposed,68
796,leader,95
797,party,500
798,3:35,1
799,deserttusk*at*gmail.com,1
800,2004,404
801,june,205
802,august,192
803,september,272
804,november,212
805,december,193
806,january,174
807,february,145
808,feed,34
809,discerning,6
810,texan,9
811,times,465
812,try,126
813,men's,7
814,souls,4
815,summer,40
816,soldier,41
817,sunshine,8
818,patriot,31
819,crisis,141
820,shrink,4
821,stands,18
822,deserves,28
823,love,151
824,thanks,80
825,woman,88
826,tyranny,16
827,hell,62
828,easily,47
829,conquered,2
830,yet,205
831,consolation,5
832,harder,16
833,conflict,36
834,glorious,3
835,triumph,13
836,thomas,37
837,paine,3
838,1776,2
839,29,116
840,2008,808
841,updated,34
842,jeffrey,6
843,goldberg,27
844,atlantic,29
845,gingrich,16
846,la,105
847,obama,1262
848,cover-up,7
849,asks,33
850,ultra-conservative,1
851,rag,6
852,hiding,27
853,entirely,38
854,necessary,51
855,explain,75
856,once,228
857,again,362
858,rashid,36
859,khalidi,66
860,danger,37
861,republic,60
862,rehearse,1
863,idea,195
864,barack,326
865,hyde,1
866,chapter,19
867,pflp-gc,1
868,rahm,2
869,emanuel,5
870,there's,219
871,video,221
872,kind,154
873,general,142
874,principle,29
875,open,114
876,society,122
877,shouldn't,60
878,kept,46
879,voters,282
880,make,581
881,minds,25
882,whether,173
883,trust,58
884,certain,62
885,set,133
886,pro-censorship,2
887,tape,83
888,possession,15
889,reasons,90
890,fully,36
891,each,117
892,passing,21
893,understand,103
894,leaked,9
895,source,130
896,sources,67
897,unknown,18
898,agreement,31
899,struck,21
900,hidden,18
901,described,50
902,story,555
903,obviously,83
904,contains,16
905,state,549
906,secrets,6
907,suspect,34
908,obscure,6
909,origins,6
910,however,176
911,discuss,22
912,detail,10
913,keeping,46
914,readers,89
915,newspaper's,4
916,representative,30
917,jamie,6
918,gold,18
919,lined,7
920,argued,27
921,tape.it,1
922,newspapers,26
923,determine,27
924,casts,1
925,dispersions,1
926,public,331
927,needs,132
928,e.g,11
929,tracking,23
930,terrorists,147
931,phone,39
932,money,299
933,animals,34
934,equal,40
935,others,178
936,rang,3
937,true,154
938,discerningtexan,120
939,04:10:00,1
940,permalink,243
941,acorn,187
942,staffer,9
943,testifies,3
944,connection,32
945,whoa,10
946,pittsburgh,7
947,tribune-review,3
948,harrisburg,2
949,affiliate,8
950,community,125
951,testified,6
952,provided,38
953,donor,14
954,late,124
955,2007,342
956,fundraising,17
957,efforts,69
958,anita,2
959,moncrief,6
960,washington,190
961,d.c,32
962,project,112
963,vote,436
964,she,453
965,sister,48
966,her,551
967,supervisor,3
968,contributors,16
969,development,46
970,outlines,4
971,maxed,3
972,contribution,13
973,limits,40
974,targeted,16
975,give,276
976,job,184
977,identify,23
978,lie,70
979,03:59:00,2
980,continues,63
981,card,64
982,via,95
983,glenn,39
984,reynolds,30
985,media,719
986,finally,116
987,gets,92
988,conscience,9
989,sen,117
990,obama's,270
991,allowing,44
992,donors,31
993,use,276
994,largely,25
995,untraceable,14
996,prepaid,9
997,cards,31
998,potentially,22
999,evade,7
1000,individual,51
1001,legally,20
1002,allowed,95
1003,mask,11
1004,contributor's,6
1005,identity,38
1006,officials,117
1007,confirmed,28
1008,faced,19
1009,huge,68
1010,influx,7
1011,donations,55
1012,chosen,35
1013,basic,51
1014,security,194
1015,measures,26
1016,prevent,66
1017,illegal,73
1018,anonymous,15
1019,contributions,39
1020,flowing,6
1021,aides,13
1022,acknowledged,14
1023,instead,197
1024,scrutinizing,6
1025,books,107
1026,improper,12
1027,"deposited.""we've",1
1028,known,84
1029,notion,13
1030,objective,17
1031,united,327
1032,states,406
1033,complete,51
1034,09:50:00,1
1035,am,1276
1036,defines,5
1037,transparency,10
1038,morrissey,18
1039,points,134
1040,least,252
1041,cbs,135
1042,removed,30
1043,veneer,1
1044,peep,3
1045,massive,36
1046,fraud,111
1047,couric,3
1048,newscast,1
1049,between,290
1050,100-200,2
1051,million,145
1052,through,300
1053,unverified,2
1054,reported,91
1055,foreign,134
1056,09:30:00,8
1057,27,77
1058,understatement,3
1059,century,47
1060,stevens,28
1061,guilty,31
1062,career,55
1063,peril,6
1064,well,483
1065,colin,13
1066,powell,19
1067,miss,23
1068,him,596
1069,nation's,27
1070,best-known,1
1071,retired,14
1072,army,116
1073,generals,4
1074,ted,55
1075,court,189
1076,trusted,17
1077,sterling,2
1078,reputation,18
1079,someone,230
1080,whose,90
1081,word,109
1082,rely,12
1083,secretary,79
1084,bush's,117
1085,term,90
1086,self-deprecatingly,1
1087,chairman,58
1088,joint,17
1089,chiefs,2
1090,staff,56
1091,dabbled,1
1092,bit,148
1093,diplomacy,15
1094,great,289
1095,judge,42
1096,character.heh,1
1097,worse,71
1098,corrupt,39
1099,pol,3
1100,puts,29
1101,leading,46
1102,10:54:00,2
1103,cover,57
1104,plo,19
1105,brotherhood,7
1106,enough,262
1107,shame,37
1108,go,414
1109,bill,264
1110,whittle,19
1111,radioactive,4
1112,report,223
1113,morning,116
1114,led,66
1115,audio,28
1116,wbez,5
1117,radio,137
1118,station,54
1119,old,196
1120,bomb,30
1121,speaking,56
1122,call-in,1
1123,show,258
1124,2001,34
1125,profoundly,7
1126,shock,17
1127,any,618
1128,dig,10
1129,deeply,32
1130,man's,21
1131,beliefs,57
1132,affiliations,2
1133,abandon,12
1134,hope,201
1135,ye,3
1136,enter,31
1137,victories,7
1138,failures,7
1139,civil-rights,4
1140,litigation,5
1141,strategy,53
1142,succeeded,7
1143,vest,3
1144,formal,6
1145,previously,20
1146,dispossessed,1
1147,peoples,13
1148,able,109
1149,lunch,15
1150,counter,21
1151,order,120
1152,pay,146
1153,i'd,96
1154,okay,79
1155,supreme,89
1156,entered,15
1157,issues,177
1158,redistribution,26
1159,wealth,94
1160,sort,98
1161,economic,188
1162,justice,117
1163,uh,23
1164,extent,45
1165,radical,91
1166,tried,92
1167,characterize,5
1168,warren,17
1169,wasn't,109
1170,essential,22
1171,constraints,12
1172,placed,28
1173,founding,15
1174,fathers,17
1175,constitution,100
1176,interpreted,8
1177,same,376
1178,generally,39
1179,charter,14
1180,negative,49
1181,liberties,16
1182,doesn't,315
1183,must,214
1184,behalf,27
1185,hasn't,51
1186,shifted,4
1187,tragedies,5
1188,became,63
1189,court-focused,3
1190,tendency,13
1191,lose,101
1192,track,80
1193,organizing,25
1194,activities,40
1195,ground,68
1196,put,271
1197,together,85
1198,actual,52
1199,coalitions,6
1200,bring,115
1201,redistributive,10
1202,change,256
1203,ways,61
1204,suffer,11
1205,that.a,1
1206,caller,4
1207,helpfully,3
1208,gentleman,3
1209,made,462
1210,terribly,6
1211,changes,27
1212,too,382
1213,reparative,2
1214,economically,8
1215,appropriate,39
1216,place,205
1217,replies,4
1218,optimistic,15
1219,bringing,51
1220,courts,35
1221,institution,30
1222,isn't,210
1223,structured,1
1224,snip,2
1225,start,133
1226,sorts,14
1227,separation,6
1228,powers,23
1229,terms,45
1230,monitoring,1
1231,engaging,13
1232,essentially,20
1233,administrative,4
1234,politically,51
1235,hard,152
1236,legitimize,1
1237,opinions,45
1238,regard,23
1239,although,78
1240,craft,1
1241,theoretical,1
1242,justifications,2
1243,rationale,8
1244,circle,16
1245,vague,11
1246,ambiguous,3
1247,top,115
1248,second,179
1249,highlighted,4
1250,phrase,16
1251,defenders,9
1252,bent,8
1253,backwards,3
1254,trying,226
1255,spin,29
1256,meaning,40
1257,means,130
1258,crystal,2
1259,clear,127
1260,creation,17
1261,certainly,75
1262,opportunity,87
1263,simply,174
1264,taking,121
1265,successful,38
1266,hard-working,3
1267,distributing,3
1268,whom,55
1269,decides,7
1270,deserve,31
1271,task,29
1272,suitable,9
1273,chief,72
1274,that's,366
1275,garden-variety,1
1276,socialism,55
1277,apparently,105
1278,big,289
1279,deal,112
1280,appeal,42
1281,claims,80
1282,revere,1
1283,beg,5
1284,citizen,38
1285,another,384
1286,consider,80
1287,next,252
1288,statement,103
1289,care,144
1290,possibly,23
1291,bear,54
1292,america,346
1293,percent,168
1294,world's,23
1295,population,61
1296,leads,33
1297,militarily,6
1298,scientifically,2
1299,culturally,3
1300,spectacular,10
1301,margin,34
1302,achievements,8
1303,alone,67
1304,enormous,16
1305,pride,28
1306,dominate,7
1307,arenas,1
1308,historical,26
1309,precedent,7
1310,achieved,15
1311,areas,37
1312,due,85
1313,structure,11
1314,outlined,5
1315,entire,106
1316,purpose,35
1317,limit,22
1318,limitation,4
1319,unlocked,1
1320,vast,33
1321,potential,48
1322,available,61
1323,sees,24
1324,limiting,8
1325,lynchpin,1
1326,rather,259
1327,fatal,7
1328,flaw,3
1329,civil,86
1330,room,51
1331,wiggle,1
1332,misunderstanding,3
1333,edited,13
1334,context,21
1335,thing,293
1336,believes,59
1337,guess,126
1338,interpret,5
1339,storied,2
1340,history,189
1341,democrats,442
1342,moderates,17
1343,fought,31
1344,continue,160
1345,fight,147
1346,pitched,1
1347,battles,14
1348,best,227
1349,govern,7
1350,nation,133
1351,ever,190
1352,232-year,1
1353,completely,80
1354,openly,19
1355,opposed,46
1356,limited,35
1357,absolute,20
1358,cornerstone,2
1359,makes,156
1360,unique,16
1361,exceptional,8
1362,does,393
1363,frighten,4
1364,regardless,29
1365,affiliation,16
1366,deliver,31
1367,houses,23
1368,congress,202
1369,filibuster-proof,7
1370,senate,162
1371,quote,83
1372,righteous,5
1373,wind,19
1374,backs,5
1375,understanding,32
1376,tenets,1
1377,provides,40
1378,abuse,53
1379,shameful,11
1380,mercifully,1
1381,shorter,5
1382,person,128
1383,resources,45
1384,desire,36
1385,everything,115
1386,might,226
1387,powerful,51
1388,teams,11
1389,highly,35
1390,paid,75
1391,professionals,4
1392,corner,48
1393,office,150
1394,skyscraper,1
1395,access,59
1396,subtle,16
1397,conduits,2
1398,possesses,3
1399,network,84
1400,owns,9
1401,satellite,16
1402,billions,14
1403,advertising,35
1404,dollars,71
1405,exactly,102
1406,blame,67
1407,believing,10
1408,distribution,10
1409,lying,33
1410,life,257
1411,applying,4
1412,expense,18
1413,line,140
1414,employ,5
1415,standing,47
1416,armies,3
1417,so-called,42
1418,capable,16
1419,investigative,8
1420,journalism,47
1421,damage,49
1422,sarah,138
1423,palin,193
1424,wild,20
1425,accusations,24
1426,baby's,4
1427,paternity,2
1428,destroy,28
1429,playing,60
1430,ball,21
1431,messiah,13
1432,decided,91
1433,roll,32
1434,votes,137
1435,inevitable,16
1436,coronation,2
1437,independent,63
1438,abundantly,2
1439,everyone,136
1440,facts,75
1441,refuse,24
1442,suit,20
1443,remember,154
1444,did,533
1445,single,58
1446,special,67
1447,journalists,112
1448,specifically,20
1449,narcissists,1
1450,elitists,12
1451,passed,52
1452,electorate,21
1453,death,143
1454,especially,115
1455,attention,84
1456,andrew,80
1457,mccarthy,12
1458,refusing,27
1459,anyway,76
1460,sharing,13
1461,toast,12
1462,supporters,87
1463,clearly,36
1464,shows,155
1465,whittle's,2
1466,scathing,3
1467,assessment,3
1468,let's,67
1469,experiment,7
1470,mccain,480
1471,attended,32
1472,racists,15
1473,mongers,2
1474,attendance,8
1475,testimonials,1
1476,glowing,2
1477,benefit,40
1478,guest,25
1479,honor,59
1480,apologist,3
1481,gave,87
1482,stood,29
1483,tacit,2
1484,approval,36
1485,solidarity,8
1486,speeches,27
1487,reeked,1
1488,hatred,65
1489,ally,10
1490,rationalizations,5
1491,attacks,99
1492,obtained,12
1493,videotape,13
1494,chance,88
1495,publish,14
1496,front-page,4
1497,gory,3
1498,usual,40
1499,accompanying,2
1500,chorus,3
1501,sanctimony,1
1502,oped,1
1503,commentariat,2
1504,reluctant,8
1505,publishing,12
1506,pretending,13
1507,mainstream,63
1508,y'know,3
1509,guys,123
1510,drove,18
1511,trent,6
1512,lott,7
1513,leadership,78
1514,position,75
1515,birthday-party,1
1516,screaming,12
1517,ask?read,1
1518,whole,125
1519,ps,3
1520,subscriber,2
1521,national,409
1522,review--why,1
1523,jim,50
1524,hoft,8
1525,holding,41
1526,celebrating,11
1527,palestinians,21
1528,hostile,12
1529,gives,56
1530,operative,6
1531,celebration,15
1532,saw,109
1533,side,126
1534,unlikely,18
1535,refuses,24
1536,terrorist,144
1537,ayers,98
1538,jew-hater,1
1539,reports,83
1540,wife,72
1541,bernadine,4
1542,dohrn,19
1543,jew-bash,2
1544,tonight,82
1545,o'reilly,10
1546,factor,20
1547,talked,31
1548,article,200
1549,announced,34
1550,contact,67
1551,newspaper,57
1552,toasting,5
1553,tomorrow,56
1554,08:17:00,3
1555,sunday,94
1556,26,78
1557,fraud--but,1
1558,somehow,45
1559,avoids,1
1560,critical,56
1561,quesion,1
1562,reporting,88
1563,unbridled,2
1564,unchecked,6
1565,above,87
1566,missing,29
1567,invites,7
1568,mosk,11
1569,thinks,62
1570,occurred,24
1571,conservative,274
1572,different,130
1573,retail,23
1574,spent,121
1575,15,92
1576,buying,22
1577,selling,27
1578,products,25
1579,retailers,20
1580,themselves,149
1581,customers,23
1582,system,167
1583,compares,10
1584,billing,2
1585,credit-card,3
1586,match,20
1587,denied,21
1588,companies,60
1589,gone,76
1590,extra,19
1591,step,49
1592,code,42
1593,fraudulent,27
1594,uses,33
1595,systems,23
1596,team,67
1597,pertinent,3
1598,existed,7
1599,deliberately,20
1600,avoid,32
1601,using,153
1602,perhaps,131
1603,fec,11
1604,discover,21
1605,answer,118
1606,inclined,17
1607,jobs,85
1608,seems,247
1609,stop,163
1610,helped,69
1611,raise,62
1612,funds,46
1613,tanning,2
1614,bed,13
1615,ought,37
1616,10:21:00,3
1617,stretch,13
1618,crafts,2
1619,similie,1
1620,emphasis,37
1621,mine,71
1622,alabama,12
1623,counties,20
1624,registered,62
1625,voting-age,2
1626,plus,45
1627,considering,35
1628,dog,28
1629,pike,2
1630,county,106
1631,personally,58
1632,addressed,8
1633,voter,143
1634,registration,68
1635,form,76
1636,month,117
1637,we'd,12
1638,legitimate,33
1639,concern,56
1640,what's,108
1641,we've,69
1642,yellow,10
1643,wonder,97
1644,voting,152
1645,same-day,2
1646,id,16
1647,requirements,14
1648,doc,2
1649,loans,34
1650,questionable,19
1651,machines,16
1652,dubious,6
1653,credit-rating,1
1654,schemes,9
1655,lots,28
1656,insiders,4
1657,fix,20
1658,crash,15
1659,comes,133
1660,price,59
1661,analogy,7
1662,reality,64
1663,vs,24
1664,tax,246
1665,plan--using,1
1666,math,15
1667,third,80
1668,grader,4
1669,grok,3
1670,greg,16
1671,mankiw,9
1672,focuses,5
1673,important,169
1674,thinking,111
1675,plans,68
1676,affect,16
1677,mankiw's,1
1678,incentive,10
1679,taxes,147
1680,t1=t2=t3=t4=0,2
1681,earned,16
1682,yield,7
1683,28,91
1684,miracle,10
1685,compounding,3
1686,t1=.35,2
1687,t2=.25,2
1688,t3=.15,2
1689,t4=.15,2
1690,dollar,23
1691,yields,7
1692,4.81,3
1693,low-tax,2
1694,cut,76
1695,83,7
1696,compared,40
1697,situation,64
1698,t1=.43,2
1699,t2=.35,2
1700,t3=.2,2
1701,t4=.45,2
1702,1.85,3
1703,proposed,39
1704,hikes,4
1705,reduce,30
1706,62,9
1707,93,8
1708,no-tax,3
1709,scenario,15
1710,sense,137
1711,various,57
1712,pieces,23
1713,facing,33
1714,marginal,11
1715,rate,57
1716,induce,1
1717,turn,89
1718,likelihood,10
1719,galt,8
1720,rocks,8
1721,shoals,1
1722,nooks,1
1723,better,284
1724,finding,34
1725,real,235
1726,gems,5
1727,09:43:00,4
1728,24,96
1729,updated/bumped,2
1730,maybe,195
1731,reducation,1
1732,murder,34
1733,enemies,38
1734,bumped,5
1735,ashley,13
1736,todd,19
1737,something,304
1738,read,379
1739,chilling,5
1740,reminder,12
1741,sociopaths,1
1742,stripes,5
1743,older,24
1744,ayers/dohrn,2
1745,stating,8
1746,changed,67
1747,beliefs--and,1
1748,mentors,4
1749,mark,101
1750,levin,35
1751,began,77
1752,item,7
1753,talking,144
1754,redistributing,7
1755,vid,5
1756,breaking,34
1757,1995,22
1758,watch,250
1759,filmed,5
1760,timeframe,1
1761,actively,20
1762,collaborating,1
1763,annenberg,12
1764,friends,111
1765,area,48
1766,noted,50
1767,initial,15
1768,living,89
1769,weather,41
1770,underground,31
1771,wing,63
1772,bob,45
1773,owens,6
1774,genocide,27
1775,reeducate,1
1776,diehard,1
1777,capitalists,3
1778,reply,4
1779,they'd,20
1780,eliminated,6
1781,pursued,6
1782,further,92
1783,estimated,11
1784,eliminate,10
1785,25,108
