,0,1
235,portions,5
236,continent's,1
237,libraries,1
238,put,91
239,much,231
240,civilization,3
241,possible,64
242,books,29
243,maps,2
244,paintings,3
245,films,6
246,online,45
247,free,124
248,web,78
249,site,115
250,moment,35
251,just,562
252,has,959
253,tour,12
254,viviane,1
255,reding,1
256,eu,3
257,commissioner,7
258,society,90
259,promised,16
260,two,237
261,million,97
262,digitized,1
263,objects,3
264,available,34
265,full,72
266,public,216
267,browsing,3
268,english,20
269,german,4
270,french,9
271,november,158
272,20,53
273,will,753
274,let,87
275,reader,29
276,start,64
277,say,281
278,image,21
279,mona,4
280,lisa,5
281,then,242
282,encourage,11
283,stroll,2
284,through,142
285,related,32
286,music,43
287,or,789
288,artifacts,2
289,using,52
290,data,21
291,tags,19
292,leonardo,1
293,da,4
294,vinci,4
295,portraits,2
296,italy,3
297,even,332
298,color,8
299,timeline,3
300,history,126
301,ostensibly,1
302,presents,4
303,itself,41
304,competitor,2
305,google,17
306,library,21
307,which,433
308,since,155
309,2004,245
310,scanned,2
311,10,86
312,pieces,11
313,love,87
314,hear,54
315,kind,97
316,competition,9
317,taking,51
318,place,97
319,can,584
320,make,355
321,fastest,2
322,get,446
323,set,54
324,ready,34
325,go,222
326,29,107
327,insulting,10
328,lack,30
329,sense,69
330,humor,24
331,countries,22
332,whose,53
333,considered,28
334,protected,10
335,divine,2
336,intervention,5
337,really,256
338,need,168
339,healthy,9
340,load,4
341,take,180
342,moroccan,5
343,crown,4
344,example,61
345,world's,10
346,entrenched,5
347,unaccountable,1
348,monarchies,1
349,barricaded,1
350,behind,52
351,battery,2
352,ancient,14
353,laws,41
354,insult,5
355,designed,13
356,away,114
357,dealings,6
358,photo,18
359,medieval,1
360,approach,26
361,taken,43
362,heavy,9
363,toll,6
364,morocco's,1
365,development,27
366,yet,115
367,king,50
368,morocco,1
369,mohamed,1
370,vi,2
371,above,33
372,his,814
373,wealthy,18
374,entourage,2
375,insist,5
376,clinging,1
377,abusive,6
378,punishments,1
379,99.99,1
380,percent,124
381,moroccans,1
382,dark,21
383,government's,11
384,something,146
385,harmless,1
386,infantile,1
387,embarrassing,7
388,hits,12
389,curtains,1
390,covering,11
391,edifice,1
392,deception,3
393,blown,2
394,here,338
395,bbc,16
396,schoolboy,1
397,aged,2
398,18,42
399,been,512
400,jailed,2
401,after,292
402,replacing,3
403,monarch's,1
404,favourite,2
405,football,9
406,club,41
407,he,1027
408,altered,6
409,phrase,15
410,god,86
411,nation,74
412,school,49
413,blackboard,2
414,barcelona,3
415,fc,2
416,says,153
417,appointed,9
418,lawyer,13
419,look,127
420,into,270
421,whether,95
422,help,128
423,boy,26
424,within,47
425,framework,4
426,law,135
427,several,69
428,cases,23
429,young,77
430,men,52
431,royal,3
432,family,86
433,bbc's,1
434,james,51
435,copnall,1
436,rabat,1
437,completely,47
438,clear,53
439,court,96
440,felt,26
441,remarks,12
442,apparent,8
443,insults,2
444,were,418
445,problem,78
446,justice,51
447,commented,6
448,case,98
449,so,668
450,far,98
451,score,6
452,1,130
453,clowns,2
454,ps,1
455,you've,23
456,got,146
457,reaction,20
458,uniform,4
459,advertisement,7
460,reads,11
461,unicef,8
462,global,58
463,network,51
464,initiative,64
465,launched,17
466,anticipated,3
467,today,205
468,backing,7
469,diverse,4
470,alliance,26
471,both,129
472,corporate,49
473,civil,52
474,including,72
475,committee,75
476,bench,6
477,executive,39
478,director,29
479,had,421
480,launching,5
481,increasingly,16
482,obtains,1
483,progressively,1
484,larger,20
485,exclusive,4
486,use,124
487,internet,41
488,old,96
489,problems,49
490,must,128
491,attacked,11
492,new,506
493,ways,35
494,longstanding,3
495,censorship,15
496,issues,93
497,such,145
498,imposing,3
499,criminal,15
500,penalties,5
501,alleged,17
502,defamation,1
503,truthful,1
504,statements,19
505,head,34
506,state,361
507,officials,47
508,become,63
509,more,754
510,damaging,4
511,when,514
512,last,329
513,bastion,1
514,wrongfully,1
515,persecuted,2
516,protecting,15
517,oneself,3
518,under,121
519,cloak,1
520,anonymity,3
521,may,324
522,provide,39
523,cannot,34
524,fully,17
525,utilized,2
526,principles,21
527,assist,5
528,any,283
529,citizens,61
530,seek,15
531,inform,7
532,influence,33
533,others,72
534,ensuring,7
535,strong,45
536,united,84
537,front,39
538,persecution,4
539,often,52
540,effected,1
541,lone,2
542,dissenter,1
543,official,30
544,announcement,12
545,effort,47
546,protect,29
547,advance,15
548,human,97
549,rights,131
550,expression,18
551,privacy,27
552,coalition,26
553,leading,41
554,communications,17
555,companies,56
556,major,68
557,academics,5
558,investors,8
559,technology,27
560,americas,2
561,europe,13
562,middle,60
563,east,38
564,asia,10
565,industries,4
566,face,53
567,increasing,10
568,pressure,12
569,comply,2
570,domestic,31
571,policies,46
572,require,22
573,disclosure,19
574,personal,46
575,conflict,18
576,internationally,3
577,recognized,10
578,standards,21
579,founded,12
580,upon,30
581,specific,11
582,implementation,2
583,commitments,3
584,accountability,19
585,learning,13
586,systematic,2
587,ngos,1
588,work,128
589,together,37
590,resisting,2
591,efforts,41
592,governments,12
593,enlist,1
594,acts,11
595,surveillance,11
596,violate,2
597,60th,3
598,anniversary,7
599,year,173
600,universal,12
601,declaration,6
602,out,589
603,covenant,2
604,political,308
605,economic,125
606,social,109
607,accompanying,6
608,guidelines,6
609,significant,23
610,participating,10
611,establishing,6
612,greater,22
613,transparency,11
614,users,5
615,assessing,4
616,risk,26
617,requesting,4
618,legal,40
619,rationale,4
620,actions,22
621,training,20
622,employees,17
623,challenging,6
624,violations,6
625,providing,15
626,whistle-blowing,1
627,mechanisms,2
628,participants,13
629,recognize,12
630,responsible,18
631,company,59
632,alone,31
633,guarantee,5
634,violated,7
635,instead,48
636,ultimate,13
637,responsibility,24
638,ensure,17
639,respected,8
640,promoted,10
641,fulfilled,1
642,why,256
643,establishes,2
644,ngo,2
645,investor,3
646,academic,22
647,collaborate,2
648,each,70
649,promote,16
650,rule,34
651,adoption,2
652,practices,6
653,respect,39
654,climate,28
655,rapidly,6
656,changing,16
657,technologies,3
658,products,8
659,services,17
660,complex,10
661,constantly,8
662,evolving,1
663,task,15
664,collaboration,2
665,among,74
666,lobby,9
667,dialogue,7
668,stakeholders,1
669,local,88
670,markets,31
671,share,153
672,experiences,2
673,critical,23
674,success,24
675,announced,25
676,formation,4
677,organization,34
678,support,158
679,long-term,9
680,multi-stakeholder,3
681,governance,2
682,structure,13
683,established,8
684,joint,7
685,worldwide,19
686,standard,24
687,requires,9
688,perspective,19
689,broadly,6
690,based,39
691,industry,30
692,therefore,22
693,key,33
694,priority,7
695,actively,8
696,recruiting,5
697,members,73
698,academia,4
699,commitment,10
700,advancement,1
701,outcome,11
702,process,46
703,began,27
704,2006,388
705,formalized,1
706,early,92
707,2007,234
708,closely,6
709,examined,2
710,relating,5
711,around,160
712,well,206
713,relevant,13
714,number,100
715,processes,4
716,28,64
717,christian,29
718,science,81
719,monitor,12
720,stop,68
721,edition,27
722,celebrate,6
723,100th,5
724,announcing,4
725,publishing,12
726,shift,16
727,operations,9
728,starting,27
729,april,132
730,2009,4
731,first,236
732,newspaper,28
733,radical,23
734,change,115
735,another,144
736,symptom,3
737,steady,9
738,decline,12
739,paper's,2
740,page,106
741,multiplatform,1
742,strategy,22
743,secure,15
744,enlarge,5
745,monitor's,5
746,role,33
747,second,53
748,century,27
749,said,513
750,mary,18
751,trammell,2
752,editor,35
753,chief,32
754,member,44
755,board,28
756,directors,3
757,mrs,14
758,journalism,20
759,seeks,6
760,bless,20
761,humanity,11
762,injure,2
763,shines,3
764,light,23
765,challenges,20
766,solutions,9
767,center,138
768,baker,5
769,eddy's,2
770,vision,18
771,method,5
772,delivery,2
773,format,4
774,secondary,4
775,adjusted,3
776,call,113
777,abreast,1
778,while,171
779,circulation,11
780,primarily,4
781,delivered,6
782,mail,12
783,trended,1
784,downward,1
785,nearly,45
786,40,28
787,years,251
788,looking,71
789,forward,23
790,readership,3
791,clearly,35
792,shows,61
793,promise,25
794,judy,2
795,wolff,1
796,chairman,23
797,trustees,1
798,plan,85
799,advantage,17
800,order,76
801,deliver,12
802,improve,15
803,timeliness,1
804,relevance,1
805,increase,30
806,revenue,16
807,reduce,11
808,costs,29
809,way,302
810,reaches,5
811,readers,58
812,celebrates,3
813,nov,10
814,25,56
815,direction,12
816,church,53
817,founder,8
818,eddy,2
819,subject,49
820,searing,2
821,journalistic,6
822,attack,51
823,joseph,10
824,pulitzer's,1
825,york,96
826,her,466
827,professional,11
828,running,71
829,over,283
830,100,33
831,days,151
832,tomorrow,24
833,oct,150
834,see,311
835,gni,2
836,speech,84
837,protection,13
838,microsoft,2
839,yahoo,9
840,ngo's,1
841,introduce,4
842,avoid,12
843,minimize,2
844,impact,14
845,restrictions,11
846,stating,2
847,right,303
848,guarantor,1
849,dignity,6
850,commits,3
851,try,38
852,resist,10
853,overly,7
854,broad,7
855,demands,11
856,could,236
857,compromise,7
858,begun,11
859,groups,48
860,congress,109
861,criticized,10
862,cooperating,2
863,chinese,21
864,dissidents,1
865,laying,6
866,code,19
867,conduct,11
868,non-governmental,1
869,forum,32
870,jointly,1
871,establish,13
872,system,80
873,auditors,2
874,rate,27
875,important,89
876,step,22
877,obligate,1
878,challenge,16
879,michael,102
880,posner,2
881,president,250
882,agreed,13
883,discuss,23
884,obtained,11
885,documents,11
886,sets,7
887,mechanism,4
888,allow,42
889,evaluated,1
890,time,377
891,throughout,16
892,especially,63
893,china,53
894,embarked,1
895,schemes,5
896,aimed,8
897,eliminating,3
898,internet's,1
899,powerful,23
900,feature,7
901,flow,6
902,ideas,40
903,least,101
904,telecommunications,5
905,france,11
906,télécom,1
907,vodafone,1
908,considering,10
909,part,150
910,hand,48
911,corporations,21
912,at&t,2
913,verizon,1
914,sprint,2
915,nextel,1
916,willing,30
917,bush,281
918,administration's,14
919,illegal,25
920,spying,4
921,sign,43
922,27,62
923,milk,11
924,stain,3
925,won't,57
926,scandal,27
927,vicious,3
928,circle,8
929,corruption,31
930,dig,5
931,tainted,3
932,worse,46
933,stinks,1
934,core,14
935,boiling,3
936,pot,4
937,regime's,2
938,hermetic,1
939,tendencies,3
940,reporters,39
941,without,118
942,borders,8
943,washington,142
944,representative,23
945,licie,1
946,morillon,2
947,confirms,4
948,main,32
949,culprit,1
950,scandal's,1
951,disastrous,4
952,consequences,10
953,left,154
954,four,99
955,babies,11
956,dead,40
957,"53,000",2
958,sickened,3
959,july,167
960,journalist,17
961,working,55
962,investigative,8
963,nanfang,1
964,zhoumo,1
965,weekend,19
966,gathered,6
967,reliable,7
968,regarding,21
969,wave,18
970,hospitalizations,1
971,new-born,2
972,killed,28
973,illnesses,2
974,linked,20
975,powered,18
976,made,148
977,dairy,4
978,sanlu,2
979,writer's,1
980,however,81
981,decided,35
982,publish,7
983,story,162
984,fear,42
985,reprisal,1
986,result,30
987,wait,23
988,olympic,11
989,games,15
990,september,174
991,before,195
992,outlet,6
993,dared,3
994,explosive,2
995,fu,2
996,jianfeng,1
997,damning,2
998,indictment,2
999,became,26
1000,actually,109
1001,our,528
1002,reporter,26
1003,feng,1
1004,received,37
1005,than,444
1006,hospitalized,1
1007,kidney,1
1008,stones,2
1009,tongji,1
1010,hospital,15
1011,wuhan,1
1012,city,85
1013,hubei,1
1014,province,1
1015,consuming,1
1016,powder,1
1017,reasons,41
1018,everybody,17
1019,knows,53
1020,able,57
1021,investigate,10
1022,because,351
1023,harmony,1
1024,needed,33
1025,everywhere,14
1026,i,2258
1027,deeply,10
1028,concerned,24
1029,sensed,1
1030,going,264
1031,huge,35
1032,health,156
1033,catastrophe,5
1034,send,42
1035,harbored,1
1036,deep,19
1037,guilt,4
1038,defeat,12
1039,provides,15
1040,pains-taking,1
1041,details,39
1042,how,425
1043,bureaucracy's,1
1044,addiction,4
1045,secrecy,6
1046,bad,102
1047,situation,34
1048,catastrophic,5
1049,talking,107
1050,absolute,9
1051,opposite,10
1052,honey,2
1053,tunisian,11
1054,mercy,6
1055,mighty,8
1056,8,105
1057,magazine,25
1058,kalima,8
1059,critic,2
1060,regime,14
1061,zine,2
1062,al-abidine,2
1063,ben,28
1064,ali,13
1065,disabled,8
1066,content,40
1067,destroyed,8
1068,kalima's,5
1069,editor-in-chief,6
1070,sihem,2
1071,bensedrine,3
1072,no,550
1073,doubt,25
1074,perpetrated,3
1075,someone,96
1076,close,48
1077,cooperation,5
1078,proves,4
1079,once,87
1080,tunisia,7
1081,now,440
1082,chimera,1
1083,unique,15
1084,sites,44
1085,shut,30
1086,past,80
1087,tunisnews,1
1088,tunisiawatch,1
1089,activist,13
1090,naziha,2
1091,rjiba,2
1092,distributed,8
1093,following,49
1094,opinion,53
1095,piece,56
1096,long,149
1097,hard,91
1098,fight,57
1099,illness,4
1100,preoccupied,1
1101,me,414
1102,entire,42
1103,summer,18
1104,recovered,2
1105,finally,42
1106,my,595
1107,prepared,20
1108,pick,36
1109,pen,8
1110,vain,5
1111,talk,97
1112,country,215
1113,sick,20
1114,where,235
1115,contaminated,1
1116,injustice,4
1117,cowardice,1
1118,pettiness,1
1119,hit,44
1120,website,38
1121,nothing,86
1122,attackers,1
1123,many,248
1124,imperative,1
1125,unveil,1
1126,instigator,1
1127,it's,548
1128,pirates,3
1129,highway,4
1130,particularly,29
1131,if,763
1132,highways,1
1133,lead,56
1134,toward,29
1135,discovery,3
1136,true,72
1137,hideous,2
1138,nature,33
1139,like,543
1140,road,45
1141,followed,18
1142,thus,22
1143,abuse,21
1144,power,94
1145,indicator,8
1146,denounces,2
1147,sheds,2
1148,level,54
1149,seeing,61
1150,mirrored,1
1151,does,154
1152,practise,1
1153,neither,29
1154,complaisance,1
1155,nor,44
1156,opportunism,1
1157,sacrifice,8
1158,truth,66
1159,pretext,1
1160,benefit,16
1161,expert,13
1162,male,16
1163,female,14
1164,computer,9
1165,engineer,5
1166,executed,5
1167,probably,76
1168,frequent,3
1169,insatiable,1
1170,visitor,3
1171,resistance,5
1172,oppression,1
1173,likes,9
1174,admire,1
1175,courage,15
1176,contributors,9
1177,nevertheless,5
1178,orders,4
1179,dictated,1
1180,him,246
1181,destroy,14
1182,learned,26
1183,reading,91
1184,continues,30
1185,steep,3
1186,post,382
1187,big,140
1188,losers,2
1189,six,39
1190,months,74
1191,recorded,3
1192,507,1
1193,dropped,6
1194,4.6,3
1195,publisher,14
1196,industry's,1
1197,trade,26
1198,publication,10
1199,reports,59
1200,daily,142
1201,drop,15
1202,steeper,1
1203,4.8,2
1204,sunday,45
1205,sales,11
1206,doubles,1
1207,size,15
1208,previous,31
1209,period's,1
1210,performance,20
1211,2.6,2
1212,according,91
1213,audit,1
1214,bureau,10
1215,slipped,2
1216,"38,165,848",1
1217,copies,12
1218,571,2
1219,papers,10
1220,"43,631,646",1
1221,fell,14
1222,3.5,3
1223,"1,000,665",1
1224,wall,47
1225,journal,43
1226,week,187
1227,virtually,9
1228,flat,12
1229,117,4
1230,basis,22
1231,"2,011,999",1
1232,usa,18
1233,fraction,3
1234,"2,293,310",1
1235,post's,4
1236,declined,11
1237,1.9,2
1238,"622,714",1
1239,3.1,3
1240,"866,057",1
1241,los,22
1242,angeles,21
1243,decreased,1
1244,little,146
1245,5,100
1246,"739,147",1
1247,"1,055,076",1
1248,respectively,2
1249,chicago,18
1250,tribune,15
1251,7.7,1
1252,"516,032",1
1253,5.7,2
1254,"864,845",1
1255,san,40
1256,francisco,15
1257,chronicle,4
1258,lost,64
1259,7,44
1260,"339,430",1
1261,hair,8
1262,7.4,1
1263,"398,116",1
1264,jose,1
1265,mercury,6
1266,slightly,14
1267,"224,199",1
1268,4.3,1
1269,"241,518",1
1270,bleeding,4
1271,needs,61
1272,find,118
1273,winning,23
1274,formula,4
1275,integrates,1
1276,variable,2
1277,losing,32
1278,equation,2
1279,26,45
1280,dalai,2
1281,lama,2
1282,giving,57
1283,stepping,3
1284,that's,207
1285,columnist,7
1286,seems,78
1287,believe,134
1288,bosses,5
1289,popping,3
1290,champagne,3
1291,croatian,2
1292,mafia,4
1293,blamed,4
1294,killings,3
1295,financial,61
1296,ft,2
1297,prime,19
1298,suspect,12
1299,ivo,2
1300,pukanic,2
1301,owner,8
1302,nacional,1
1303,niko,1
1304,franjic,1
1305,associate,5
1306,remains,21
1307,car,33
1308,fn,1
1309,points,89
1310,sharp,9
1311,reminder,7
1312,croatia,6
1313,side,79
1314,dangerous,10
1315,threatens,3
1316,destabilise,1
1317,whole,66
1318,meaning,17
1319,pernicious,2
1320,organized,4
1321,crime,31
1322,links,119
1323,cleanest,1
1324,balkans,2
1325,beside,5
1326,point,155
1327,nobody,17
1328,extrajudicial,1
1329,execution,3
1330,hoping,15
1331,join,26
1332,sanader,2
1333,minister,17
1334,condemned,6
1335,bombing,5
1336,saying,105
1337,beirut,2
1338,longer,33
1339,organised,1
1340,rise,13
1341,pledge,17
1342,too,169
1343,authorities,19
1344,dragged,3
1345,feet,14
1346,fighting,30
1347,published,39
1348,allegations,6
1349,between,111
1350,criminals,4
1351,businessmen,1
1352,politicians,41
1353,responded,11
1354,effectively,15
1355,mr,130
1356,month,56
1357,replaced,6
1358,interior,3
1359,ministers,2
1360,ms,53
1361,hodak's,1
1362,killing,14
1363,real,154
1364,crackdown,3
1365,serbia,1
1366,managed,15
1367,2003,135
1368,shooting,5
1369,zoran,1
1370,djindjic,1
1371,late,51
1372,belgrade,1
1373,fragile,1
1374,conditions,10
1375,croatia's,1
1376,zagreb,2
1377,follow,28
1378,suit,7
1379,sees,7
1380,next,130
1381,accession,1
1382,candidate,133
1383,transforms,1
1384,record,82
1385,enters,2
1386,bulgaria,1
1387,joined,15
1388,job,92
1389,done,89
1390,brussels,1
1391,extra,13
1392,care,136
1393,future,72
1394,western,12
1395,means,63
1396,sunshine,4
1397,ask,67
1398,sicilians,1
1399,stipe,1
1400,mesic,1
1401,choice,45
1402,terrorists,31
1403,24,59
1404,stands,13
1405,attacks,38
1406,defenders,7
1407,toughened,1
1408,repression,3
1409,websites,7
1410,ali's,1
1411,21,33
1412,monopoly,3
1413,courageous,2
1414,struggling,11
1415,latest,60
1416,produced,8
1417,monitoring,5
1418,tmg,6
1419,belong,8
1420,exchange,13
1421,ifex,2
1422,recent,78
1423,representatives,10
1424,outlets,4
1425,believes,27
1426,broader,5
1427,pattern,4
1428,intimidation,3
1429,advocates,6
1430,curb,7
1431,informed,17
1432,unsuccessfully,1
1433,attempted,6
1434,2000,36
1435,recently,51
1436,hackers,1
1437,damage,9
1438,severe,3
1439,webmasters,1
1440,unable,13
1441,access,24
1442,rebuilt,1
1443,pleased,5
1444,re-launch,1
1445,disconcertingly,1
1446,re-launched,1
1447,multimedia,4
1448,platform,14
1449,archive,16
1450,source,41
1451,foreign,68
1452,focus,35
1453,intermittently,1
1454,inaccessible,1
1455,during,110
1456,furthermore,3
1457,strongly,7
1458,condemn,2
1459,plainclothes,1
1460,police,32
1461,officers,10
1462,observatory,1
1463,creation,7
1464,olpec,2
1465,ifex's,1
1466,subjected,4
1467,physical,4
1468,verbal,1
1469,downtown,16
1470,tunis,1
1471,solidarity,4
1472,rally,38
1473,writer,13
1474,zakia,1
1475,dhifaoui,1
1476,currently,28
1477,serving,10
1478,eight-month,1
1479,prison,14
1480,sentence,11
1481,connection,6
1482,advocacy,8
1483,commenting,64
1484,incident,18
1485,chair,27
1486,index,9
1487,rohan,1
1488,jayasekera,1
1489,intolerance,3
1490,known,38
1491,tunisia's,1
1492,partners,5
1493,thuggery,2
1494,prevail,4
1495,deputy,8
1496,well-known,7
1497,intensifying,1
1498,alarmed,1
1499,she,456
1500,summoned,2
1501,appear,72
1502,prosecutor,4
1503,wrote,40
1504,mouatinoun,2
1505,destruction,12
1506,accused,18
1507,22,31
1508,issue,101
1509,rejiba's,1
1510,husband,15
1511,mokhtar,1
1512,jallali,2
1513,council,30
1514,liberties,12
1515,cnlt,4
1516,jail,12
1517,involved,23
1518,fatal,6
1519,traffic,7
1520,accident,2
1521,detained,2
1522,settle,6
1523,scores,1
1524,rejiba,1
1525,om,1
1526,zied,1
1527,indirect,2
1528,threats,10
1529,targeting,3
1530,security,84
1531,23,42
1532,zimbabwe,4
1533,final,43
1534,frontier,4
1535,wondering,14
1536,outrageous,4
1537,answers,14
1538,stretching,5
1539,margins,4
1540,imagination,6
1541,dictator,1
1542,word,47
1543,institute,52
1544,misa,1
1545,hacking,2
1546,accounts,18
1547,own,160
1548,controlled,3
1549,private,47
1550,bhekinkosi,1
1551,ncube,2
1552,authorised,2
1553,group's,3
1554,officer,10
1555,justin,7
1556,mutasa,4
1557,ncube's,3
1558,suspension,3
1559,vernacular,2
1560,umthunywa,3
1561,told,105
1562,internal,12
1563,disciplinary,1
1564,hearing,37
1565,emails,10
1566,zimpapers,3
1567,publishes,2
1568,herald,5
1569,manica,1
1570,kwayedza,1
1571,exchanged,2
1572,friends,65
1573,prevailing,1
1574,minutes,24
1575,proceedings,2
1576,privately,3
1577,owned,14
1578,tom,67
1579,ndovi,2
1580,manager,13
1581,accessed,3
1582,software,7
1583,password,12
1584,cracker,1
1585,presented,8
1586,findings,3
1587,reportedly,4
1588,testified,3
1589,instructed,2
1590,snoop,1
1591,editor's,1
1592,3,101
1593,15,46
1594,august,182
1595,admitted,9
1596,editorial,12
1597,prerogative,1
1598,publicity,4
1599,incoming,1
1600,calls,32
1601,expounds,1
1602,expects,4
1603,having,92
1604,lawyers,10
1605,arguing,8
1606,evidence,29
1607,interception,1
1608,address,45
1609,owner's,1
1610,consent,5
1611,warrant,1
1612,mugabe's,1
1613,brink,1
1614,devastating,7
1615,fuming,1
1616,hu,7
1617,jia's,1
1618,slam,5
1619,dunk,2
1620,never,151
1621,mind,62
1622,meet,26
1623,counterparts,4
1624,current,70
1625,crisis,58
1626,warned,6
1627,affront,1
1628,gotten,17
1629,getting,83
1630,parliament,5
1631,awarded,5
1632,highest,10
1633,prize,16
1634,sakharov,3
1635,china's,7
1636,prominent,12
1637,fighters,8
1638,35-year-old,1
1639,jia,2
1640,distinguished,2
1641,himself,58
1642,advocating,4
1643,environmental,21
1644,aids-hiv,1
1645,causes,9
1646,via,40
1647,sentenced,1
1648,half,54
1649,inciting,1
1650,subversion,2
1651,december,107
1652,house,227
1653,arrest,7
1654,decision,49
1655,wrench,3
1656,blender,1
1657,here's,77
1658,present,14
1659,type,21
1660,amounts,6
1661,interference,1
1662,judicial,14
1663,sovereignty,3
1664,disrespect,2
1665,towards,18
1666,spokesman,18
1667,qin,1
1668,gang,13
1669,affairs,33
1670,oppose,10
1671,human-rights,2
1672,interfere,3
1673,added,39
1674,found,80
1675,guilty,24
1676,apparatus,4
1677,instigating,2
1678,award,10
1679,firmly,4
1680,resolutely,1
1681,acknowledges,2
1682,struggle,6
1683,parliament's,2
1684,hans-gert,1
1685,pottering,1
1686,statement,33
1687,named,20
1688,soviet,7
1689,physicist,1
1690,andrei,2
1691,annually,3
1692,individuals,24
1693,contribution,49
1694,democracy,64
1695,terrible,13
1696,ordeal,1
1697,wife,44
1698,zeng,1
1699,jiang,1
1700,suffering,14
1701,cirrhosis,1
1702,poor,65
1703,wise,10
1704,community,77
1705,wake,13
1706,slumber,3
1707,denounce,5
1708,beijing,3
1709,abuses,4
1710,there,512
1711,lot,125
1712,catch,14
1713,promising,9
1714,videos,7
1715,paris,5
1716,conference,18
1717,video,86
1718,collection,15
1719,amnesty,5
1720,blogging,45
1721,boxun,1
1722,citizen,23
1723,lab,3
1724,eastsouthwestnorth,1
1725,electronic,13
1726,foundation,31
1727,correspondents,2
1728,voices,13
1729,greatfirewallofchina.org,1
1730,hong,2
1731,kong,2
1732,association,33
1733,watch,118
1734,ip,5
1735,federation,5
1736,knight,2
1737,american,295
1738,rebecca,1
1739,mackinnon's,2
1740,sw,3
1741,radio,96
1742,status,18
1743,sydney,1
1744,enter,20
1745,your,428
1746,feedburner,3
1747,terms,31
1748,policy,165
1749,copyright,80
1750,infringement,2
1751,notification,2
1752,del.icio.us,2
1753,technorati,12
1754,blinklist,1
1755,facebook,23
1756,jinky,3
1757,cat,19
1758,plamegate,3
1759,ap's,1
1760,q,6
1761,recount,4
1762,brad,25
1763,ohio,61
1764,update,63
1765,blackboxvoting.org,1
1766,fl,5
1767,aclu,7
1768,air,64
1769,america,186
1770,kpoj,1
1771,black,103
1772,commentator,4
1773,lies,27
1774,buzzflash,9
1775,commondreams.org,1
1776,democratic,243
