,0
707,white
708,green
709,roses
710,monday
711,ordered
712,block
713,coverage
714,lasting
715,hardly
716,break
717,culminated
718,syrian-backed
719,government's
720,inevitably
721,raised
722,question
723,spectators
724,happen
725,yemen
726,ahmed
727,murtada
728,unemployed
729,yemeni
730,san'a
731,tanks
732,prevail
733,anas
734,khashoggi
735,46-year-old
736,management
737,consultant
738,jiddah
739,followed
740,monday's
741,events
742,wanted
743,how
744,reacts
745,disappointed
746,al-assad
747,pulled
748,i'll
749,when
750,it's
751,starting
752,look
753,syrians
754,option
755,democracies
756,already
757,forming
758,i.e
759,lead
760,reform
761,inside
762,four
763,pressure
764,3:43
765,intolerant
766,tolerance
767,howard
768,dean
769,kerry-esque
770,ability
771,contradict
772,himself
773,sentences
774,moderate
775,can't
776,stand
777,these
778,conservatives
779,because
780,they're
781,virtue
782,adding
783,right-wingers
784,throw
785,away
786,tolerant
787,concluding
788,backyard
789,litany
790,democratic
791,added
792,struggle
793,evil
794,we're
795,supposed
796,leader
797,party
798,3:35
799,deserttusk*at*gmail.com
800,2004
801,june
802,august
803,september
804,november
805,december
806,january
807,february
808,feed
